City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,de aar,-30.6497,24.0123,11.74,39,0,3.8,ZA,1696205407
1,adamstown,-25.066,-130.1015,20.41,83,16,11.53,PN,1696205407
2,port-aux-francais,-49.35,70.2167,5.35,87,100,18.93,TF,1696205407
3,big stone gap,36.8677,-82.7745,22.08,68,0,1.91,US,1696205408
4,longyearbyen,78.2186,15.6401,-2.09,59,75,9.77,SJ,1696205408
5,hermanus,-34.4187,19.2345,13.06,70,2,3.57,ZA,1696205408
6,albany,42.6001,-73.9662,19.4,87,4,1.6,US,1696205408
7,ilulissat,69.2167,-51.1,-4.99,74,6,1.03,GL,1696205408
8,north adams,42.7009,-73.1087,19.39,78,0,2.24,US,1696205274
9,yurimaguas,-5.9,-76.0833,28.32,61,100,1.0,PE,1696205408
10,port alfred,-33.5906,26.891,13.43,86,2,1.34,ZA,1696205409
11,yellowknife,62.456,-114.3525,8.56,99,100,5.81,CA,1696205409
12,baishishan,43.5833,127.5667,10.88,57,35,2.05,CN,1696205409
13,hawaiian paradise park,19.5933,-154.9731,28.73,77,40,3.6,US,1696205409
14,nizhniy kuranakh,58.8353,125.4869,7.06,64,69,0.47,RU,1696205409
15,puerto natales,-51.7236,-72.4875,1.88,77,41,3.36,CL,1696205409
16,ancud,-41.8697,-73.8203,6.47,91,100,1.9,CL,1696205410
17,edinburgh of the seven seas,-37.0676,-12.3116,10.49,57,91,9.88,SH,1696205410
18,stanley,54.868,-1.6985,12.38,95,20,1.03,GB,1696205248
19,whitehorse,60.7161,-135.0538,8.23,79,98,1.79,CA,1696205410
20,bethel,41.3712,-73.414,20.17,84,0,0.0,US,1696205410
21,weno,7.4515,151.8468,26.82,83,100,8.3,FM,1696205410
22,waitangi,-43.9535,-176.5597,12.41,92,63,13.0,NZ,1696205410
23,margaret river,-33.95,115.0667,10.81,69,100,10.97,AU,1696205410
24,grytviken,-54.2811,-36.5092,3.13,83,1,5.49,GS,1696205410
25,avarua,-21.2078,-159.775,23.03,94,100,1.54,CK,1696205411
